,DateTime,Amazon,AMZN
0,2021-03-12 00:00:00,70,31
1,2021-03-12 01:00:00,66,22
2,2021-03-12 02:00:00,67,31
3,2021-03-12 03:00:00,65,26
4,2021-03-12 04:00:00,57,33
5,2021-03-12 05:00:00,54,39
6,2021-03-12 06:00:00,53,12
7,2021-03-12 07:00:00,51,16
8,2021-03-12 08:00:00,55,20
9,2021-03-12 09:00:00,53,17
10,2021-03-12 10:00:00,56,33
11,2021-03-12 11:00:00,56,35
12,2021-03-12 12:00:00,58,49
13,2021-03-12 13:00:00,62,37
14,2021-03-12 14:00:00,68,70
15,2021-03-12 15:00:00,75,59
16,2021-03-12 16:00:00,80,63
17,2021-03-12 17:00:00,81,51
18,2021-03-12 18:00:00,83,36
19,2021-03-12 19:00:00,88,28
20,2021-03-12 20:00:00,92,30
21,2021-03-12 21:00:00,83,55
22,2021-03-12 22:00:00,76,36
23,2021-03-12 23:00:00,72,40
24,2021-03-13 00:00:00,72,32
25,2021-03-13 01:00:00,71,26
26,2021-03-13 02:00:00,69,13
27,2021-03-13 03:00:00,69,14
28,2021-03-13 04:00:00,65,21
29,2021-03-13 05:00:00,61,24
30,2021-03-13 06:00:00,58,10
31,2021-03-13 07:00:00,56,6
32,2021-03-13 08:00:00,60,3
33,2021-03-13 09:00:00,62,11
34,2021-03-13 10:00:00,64,0
35,2021-03-13 11:00:00,65,10
36,2021-03-13 12:00:00,66,16
37,2021-03-13 13:00:00,71,6
38,2021-03-13 14:00:00,76,12
39,2021-03-13 15:00:00,80,10
40,2021-03-13 16:00:00,86,10
41,2021-03-13 17:00:00,86,14
42,2021-03-13 18:00:00,92,8
43,2021-03-13 19:00:00,90,11
44,2021-03-13 20:00:00,87,7
45,2021-03-13 21:00:00,87,8
46,2021-03-13 22:00:00,83,9
47,2021-03-13 23:00:00,79,3
48,2021-03-14 00:00:00,76,10
49,2021-03-14 01:00:00,74,13
50,2021-03-14 02:00:00,74,3
51,2021-03-14 03:00:00,72,14
52,2021-03-14 04:00:00,64,4
53,2021-03-14 05:00:00,60,0
54,2021-03-14 06:00:00,54,10
55,2021-03-14 07:00:00,58,3
56,2021-03-14 08:00:00,61,6
57,2021-03-14 09:00:00,61,0
58,2021-03-14 10:00:00,64,8
59,2021-03-14 11:00:00,61,5
60,2021-03-14 12:00:00,65,7
61,2021-03-14 13:00:00,72,6
62,2021-03-14 14:00:00,82,6
63,2021-03-14 15:00:00,83,7
64,2021-03-14 16:00:00,86,9
65,2021-03-14 17:00:00,92,16
66,2021-03-14 18:00:00,91,0
67,2021-03-14 19:00:00,98,4
68,2021-03-14 20:00:00,100,5
69,2021-03-14 21:00:00,93,10
70,2021-03-14 22:00:00,82,20
71,2021-03-14 23:00:00,78,9
72,2021-03-15 00:00:00,72,6
73,2021-03-15 01:00:00,70,12
74,2021-03-15 02:00:00,64,12
75,2021-03-15 03:00:00,61,12
76,2021-03-15 04:00:00,56,6
77,2021-03-15 05:00:00,50,11
78,2021-03-15 06:00:00,47,10
79,2021-03-15 07:00:00,49,8
80,2021-03-15 08:00:00,51,17
81,2021-03-15 09:00:00,54,14
82,2021-03-15 10:00:00,55,24
83,2021-03-15 11:00:00,56,46
84,2021-03-15 12:00:00,59,48
85,2021-03-15 13:00:00,64,54
86,2021-03-15 14:00:00,68,60
87,2021-03-15 15:00:00,72,52
88,2021-03-15 16:00:00,78,56
89,2021-03-15 17:00:00,78,48
90,2021-03-15 18:00:00,81,71
91,2021-03-15 19:00:00,85,42
92,2021-03-15 20:00:00,85,51
93,2021-03-15 21:00:00,87,52
94,2021-03-15 22:00:00,78,54
95,2021-03-15 23:00:00,74,34
96,2021-03-16 00:00:00,65,21
97,2021-03-16 01:00:00,59,18
98,2021-03-16 02:00:00,61,35
99,2021-03-16 03:00:00,59,19
100,2021-03-16 04:00:00,54,26
101,2021-03-16 05:00:00,52,17
102,2021-03-16 06:00:00,49,13
103,2021-03-16 07:00:00,50,7
104,2021-03-16 08:00:00,51,32
105,2021-03-16 09:00:00,54,12
106,2021-03-16 10:00:00,57,21
107,2021-03-16 11:00:00,60,23
108,2021-03-16 12:00:00,66,27
109,2021-03-16 13:00:00,66,62
110,2021-03-16 14:00:00,73,46
111,2021-03-16 15:00:00,76,50
112,2021-03-16 16:00:00,81,51
113,2021-03-16 17:00:00,84,38
114,2021-03-16 18:00:00,88,32
115,2021-03-16 19:00:00,90,58
116,2021-03-16 20:00:00,91,38
117,2021-03-16 21:00:00,90,43
118,2021-03-16 22:00:00,80,45
119,2021-03-16 23:00:00,78,26
120,2021-03-17 00:00:00,76,51
121,2021-03-17 01:00:00,66,27
122,2021-03-17 02:00:00,64,27
123,2021-03-17 03:00:00,62,26
124,2021-03-17 04:00:00,57,13
125,2021-03-17 05:00:00,51,22
126,2021-03-17 06:00:00,51,3
127,2021-03-17 07:00:00,50,5
128,2021-03-17 08:00:00,55,12
129,2021-03-17 09:00:00,56,20
130,2021-03-17 10:00:00,56,23
131,2021-03-17 11:00:00,59,20
132,2021-03-17 12:00:00,64,32
133,2021-03-17 13:00:00,70,48
134,2021-03-17 14:00:00,74,47
135,2021-03-17 15:00:00,77,53
136,2021-03-17 16:00:00,83,64
137,2021-03-17 17:00:00,85,24
138,2021-03-17 18:00:00,87,47
139,2021-03-17 19:00:00,89,62
140,2021-03-17 20:00:00,92,83
141,2021-03-17 21:00:00,85,40
142,2021-03-17 22:00:00,78,35
143,2021-03-17 23:00:00,74,59
144,2021-03-18 00:00:00,71,36
